FID,publicid,origintime,longitude,latitude,depth,magnitude,magnitudetype,status,phases,type,agency,updatetime,origin_geom
quake.2013p548505,2013p548505,2013-07-22T22:43:56.219,174.3453,-41.6291,16.4844,2.222,M,automatic,19,,WEL(GNS_Primary),2013-07-22T22:46:08.109,POINT (174.34534 -41.629114)
quake.2013p548490,2013p548490,2013-07-22T22:35:33.514,174.2887,-41.6158,17.4219,2.1588,M,reviewed,13,,WEL(GNS_Primary),2013-07-23T01:30:30.239,POINT (174.28868 -41.615771)
quake.2013p548485,2013p548485,2013-07-22T22:32:53.492,174.3684,-41.6719,17.7734,3.7876,M,reviewed,55,,WEL(GNS_Primary),2013-07-23T01:29:55.539,POINT (174.36839 -41.671913)
quake.2013p548480,2013p548480,2013-07-22T22:30:27.741,174.2921,-41.5717,16.7188,2.1291,M,automatic,18,,WEL(GNS_Primary),2013-07-22T22:32:37.563,POINT (174.2921 -41.571663)
quake.2013p548472,2013p548472,2013-07-22T22:26:10.478,174.2434,-41.453,25.7422,1.9135,M,automatic,12,,WEL(GNS_Primary),2013-07-22T22:27:49.816,POINT (174.24341 -41.453034)
quake.2013p548465,2013p548465,2013-07-22T22:22:16.847,174.2716,-41.5957,11.6797,2.6399,M,automatic,42,,WEL(GNS_Primary),2013-07-22T22:24:47.846,POINT (174.2716 -41.595667)
quake.2013p548458,2013p548458,2013-07-22T22:18:26.894,174.99,-41.4288,7.3438,2.6529,M,automatic,24,,WEL(GNS_Primary),2013-07-22T22:21:43.083,POINT (174.98997 -41.428751)
quake.2013p548457,2013p548457,2013-07-22T22:18:14.88,174.1119,-41.5605,20.2344,2.8979,M,automatic,21,,WEL(GNS_Primary),2013-07-22T22:20:59.201,POINT (174.11186 -41.560521)
quake.2013p548453,2013p548453,2013-07-22T22:15:58.444,174.169,-41.4823,5.0586,2.2889,M,automatic,18,,WEL(GNS_Primary),2013-07-22T22:17:54.577,POINT (174.16902 -41.482331)
quake.2013p548449,2013p548449,2013-07-22T22:13:52.743,174.3463,-41.6854,5.1172,2.054,M,automatic,12,,WEL(GNS_Primary),2013-07-22T22:15:30.066,POINT (174.34633 -41.685445)
quake.2013p548446,2013p548446,2013-07-22T22:12:30.132,174.3838,-41.5985,5.2344,1.6937,M,automatic,12,,WEL(GNS_Primary),2013-07-22T22:14:24.901,POINT (174.38376 -41.598548)
quake.2013p548440,2013p548440,2013-07-22T22:09:09.524,174.231,-41.5678,25.7422,2.1225,M,automatic,15,,WEL(GNS_Primary),2013-07-22T22:11:08.054,POINT (174.23101 -41.567781)
quake.2013p548438,2013p548438,2013-07-22T22:08:05.734,174.402,-41.5317,9.2773,2.0843,M,automatic,20,,WEL(GNS_Primary),2013-07-22T22:09:54.834,POINT (174.40199 -41.531732)
quake.2013p548434,2013p548434,2013-07-22T22:05:51.74,174.4146,-41.5348,5.8203,1.7566,M,automatic,13,,WEL(GNS_Primary),2013-07-22T22:07:34.935,POINT (174.41464 -41.534815)
quake.2013p548430,2013p548430,2013-07-22T22:03:40.21,174.395,-41.5641,12.6758,2.715,M,automatic,36,,WEL(GNS_Primary),2013-07-22T22:05:55.206,POINT (174.39496 -41.564054)
quake.2013p548425,2013p548425,2013-07-22T22:01:04.49,172.7066,-43.5815,5.293,2.4934,M,automatic,15,,WEL(GNS_Primary),2013-07-22T22:04:22.919,POINT (172.70658 -43.581541)
quake.2013p548418,2013p548418,2013-07-22T21:57:20.955,174.4166,-41.5422,5.0586,2.0051,M,automatic,19,,WEL(GNS_Primary),2013-07-22T21:59:56.964,POINT (174.41665 -41.542172)
quake.2013p548415,2013p548415,2013-07-22T21:55:55.081,176.6049,-37.1948,227.1875,2.5189,M,automatic,19,,WEL(GNS_Primary),2013-07-22T21:59:29.152,POINT (176.60488 -37.194796)
quake.2013p548410,2013p548410,2013-07-22T21:53:27.911,174.1727,-41.5969,10.7422,2.3376,M,automatic,28,,WEL(GNS_Primary),2013-07-22T22:50:04.403,POINT (174.17271 -41.596929)
quake.2013p548402,2013p548402,2013-07-22T21:49:28.323,174.0312,-41.6249,8.0469,2.3338,M,automatic,11,,WEL(GNS_Primary),2013-07-22T21:51:39.931,POINT (174.03121 -41.624885)
quake.2013p548390,2013p548390,2013-07-22T21:42:20.207,174.1553,-41.6563,5.0586,2.3329,M,automatic,14,,WEL(GNS_Primary),2013-07-22T21:44:22.332,POINT (174.15534 -41.65627)
quake.2013p548385,2013p548385,2013-07-22T21:39:57.928,174.263,-41.6482,8.457,2.3451,M,automatic,26,,WEL(GNS_Primary),2013-07-22T21:42:19.722,POINT (174.26305 -41.648174)
quake.2013p548380,2013p548380,2013-07-22T21:37:17.802,174.2146,-41.6835,5.0586,2.1587,M,automatic,16,,WEL(GNS_Primary),2013-07-22T21:39:19.807,POINT (174.21458 -41.683453)
quake.2013p548369,2013p548369,2013-07-22T21:31:42.424,174.2161,-41.6266,5.1172,2.5919,M,automatic,44,,WEL(GNS_Primary),2013-07-22T21:34:32.42,POINT (174.21611 -41.626567)
quake.2013p548356,2013p548356,2013-07-22T21:24:24.902,174.1962,-41.6666,13.9648,4.7061,M,reviewed,122,,WEL(GNS_Primary),2013-07-22T22:21:38.617,POINT (174.19624 -41.666648)
quake.2013p548346,2013p548346,2013-07-22T21:18:50.001,174.2601,-41.5382,10.3906,2.2611,M,automatic,18,,WEL(GNS_Primary),2013-07-22T21:28:28.102,POINT (174.26006 -41.538189)
quake.2013p548320,2013p548320,2013-07-22T21:05:18.709,174.393,-41.5567,5.1172,1.8191,M,automatic,16,,WEL(GNS_Primary),2013-07-22T21:07:10.222,POINT (174.39295 -41.556697)
quake.2013p548312,2013p548312,2013-07-22T21:00:38.031,174.342,-41.6203,9.8047,1.9792,M,automatic,15,,WEL(GNS_Primary),2013-07-22T21:02:39.73,POINT (174.34201 -41.620258)
quake.2013p548307,2013p548307,2013-07-22T20:58:21.979,174.1896,-41.67,5.1172,1.9713,M,automatic,11,,WEL(GNS_Primary),2013-07-22T21:00:24.985,POINT (174.18957 -41.669997)
quake.2013p548289,2013p548289,2013-07-22T20:48:34.907,174.279,-41.5976,8.3984,1.9803,M,automatic,12,,WEL(GNS_Primary),2013-07-22T20:50:21.205,POINT (174.27903 -41.597553)
quake.2013p548267,2013p548267,2013-07-22T20:36:46.868,174.3493,-41.5969,5.0586,2.3164,M,automatic,23,,WEL(GNS_Primary),2013-07-22T20:38:51.939,POINT (174.3493 -41.596909)
quake.2013p548264,2013p548264,2013-07-22T20:35:44.343,174.3008,-41.5961,24.9219,2.1263,M,automatic,10,,WEL(GNS_Primary),2013-07-22T20:37:52.235,POINT (174.30083 -41.596109)
quake.2013p548247,2013p548247,2013-07-22T20:26:27.262,174.3122,-41.6236,7.4609,2.0047,M,automatic,14,,WEL(GNS_Primary),2013-07-22T20:28:28.696,POINT (174.31221 -41.623553)
quake.2013p548240,2013p548240,2013-07-22T20:22:20.594,174.4018,-41.5276,11.7383,2.8255,M,automatic,47,,WEL(GNS_Primary),2013-07-22T22:21:03.159,POINT (174.40183 -41.527557)
quake.2013p548237,2013p548237,2013-07-22T20:21:02.622,174.3518,-41.5957,5.0586,2.2538,M,automatic,20,,WEL(GNS_Primary),2013-07-22T20:22:56.661,POINT (174.35178 -41.595731)
quake.2013p548219,2013p548219,2013-07-22T20:11:24.672,174.3909,-41.5283,14.9609,2.4468,M,automatic,32,,WEL(GNS_Primary),2013-07-22T20:13:10.418,POINT (174.39094 -41.528279)
quake.2013p548217,2013p548217,2013-07-22T20:10:05.643,174.2543,-41.5876,10.5078,2.1116,M,automatic,15,,WEL(GNS_Primary),2013-07-22T20:12:06.453,POINT (174.25428 -41.58765)
quake.2013p548207,2013p548207,2013-07-22T20:05:00.467,174.4048,-41.5756,5.0586,1.9792,M,automatic,16,,WEL(GNS_Primary),2013-07-22T20:06:51.586,POINT (174.40484 -41.575605)
quake.2013p548202,2013p548202,2013-07-22T20:02:06.481,174.2555,-41.6836,5.1172,2.0501,M,automatic,11,,WEL(GNS_Primary),2013-07-22T20:04:09.716,POINT (174.25548 -41.683611)
quake.2013p548196,2013p548196,2013-07-22T19:59:00.056,175.4298,-39.227,12.8516,0.8536,M,reviewed,13,,WEL(GNS_Primary),2013-07-23T01:36:23.373,POINT (175.42975 -39.226956)
quake.2013p548190,2013p548190,2013-07-22T19:55:58.196,174.4268,-41.5308,5.0586,1.8935,M,automatic,17,,WEL(GNS_Primary),2013-07-22T19:57:51.519,POINT (174.42678 -41.530794)
quake.2013p548188,2013p548188,2013-07-22T19:54:48.104,174.1336,-41.6517,19.4141,2.1122,M,automatic,13,,WEL(GNS_Primary),2013-07-22T19:57:08.49,POINT (174.13365 -41.651671)
quake.2013p548182,2013p548182,2013-07-22T19:52:04.582,174.4293,-41.5242,12.4414,3.1533,M,automatic,71,,WEL(GNS_Primary),2013-07-22T22:11:16.236,POINT (174.42928 -41.524195)
quake.2013p548180,2013p548180,2013-07-22T19:50:25.04,174.2602,-41.6416,30.0781,2.0271,M,automatic,10,,WEL(GNS_Primary),2013-07-22T19:52:21.977,POINT (174.26016 -41.641625)
quake.2013p548175,2013p548175,2013-07-22T19:48:15.524,174.1313,-41.5849,5.1172,2.1461,M,automatic,18,,WEL(GNS_Primary),2013-07-22T19:50:32.46,POINT (174.13133 -41.584868)
quake.2013p548166,2013p548166,2013-07-22T19:43:16.535,174.3003,-41.589,5.1172,1.789,M,automatic,13,,WEL(GNS_Primary),2013-07-22T19:45:16.344,POINT (174.30034 -41.589005)
quake.2013p548155,2013p548155,2013-07-22T19:37:07.222,174.1927,-41.6127,5.1758,2.0151,M,automatic,17,,WEL(GNS_Primary),2013-07-22T19:39:08.307,POINT (174.19271 -41.612741)
quake.2013p548141,2013p548141,2013-07-22T19:29:41.835,174.1524,-41.6401,27.7344,2.8001,M,automatic,44,,WEL(GNS_Primary),2013-07-22T19:33:22.214,POINT (174.15236 -41.640125)
quake.2013p548138,2013p548138,2013-07-22T19:28:17.949,174.302,-41.5622,5.0586,2.4165,M,automatic,29,,WEL(GNS_Primary),2013-07-22T19:31:50.195,POINT (174.30198 -41.562153)
quake.2013p548133,2013p548133,2013-07-22T19:25:20.633,174.0086,-41.6109,5.2344,1.8504,M,automatic,10,,WEL(GNS_Primary),2013-07-22T19:27:52.914,POINT (174.00865 -41.610874)
quake.2013p548125,2013p548125,2013-07-22T19:21:18.548,174.2484,-41.565,6.9922,1.9956,M,automatic,17,,WEL(GNS_Primary),2013-07-22T19:23:14.762,POINT (174.24839 -41.564955)
quake.2013p548121,2013p548121,2013-07-22T19:19:10.206,175.7841,-40.5006,23.3984,1.7669,M,automatic,14,,WEL(GNS_Primary),2013-07-22T21:56:17.059,POINT (175.78406 -40.500631)
quake.2013p548120,2013p548120,2013-07-22T19:18:29.673,174.2964,-41.6056,5.1172,2.2735,M,automatic,16,,WEL(GNS_Primary),2013-07-22T19:20:25.107,POINT (174.29635 -41.60557)
quake.2013p548115,2013p548115,2013-07-22T19:16:23.195,174.2393,-41.6471,5.0586,2.8762,M,automatic,56,,WEL(GNS_Primary),2013-07-22T21:58:23.803,POINT (174.23929 -41.647059)
quake.2013p548106,2013p548106,2013-07-22T19:11:00.503,174.1899,-41.6573,9.2773,2.4244,M,automatic,30,,WEL(GNS_Primary),2013-07-22T19:13:15.497,POINT (174.18992 -41.657286)
quake.2013p548095,2013p548095,2013-07-22T19:06:27.448,174.3236,-41.6041,5.4102,2.2293,M,automatic,23,,WEL(GNS_Primary),2013-07-22T19:08:29.257,POINT (174.32357 -41.604076)
quake.2013p548083,2013p548083,2013-07-22T18:58:58.531,174.3363,-41.612,8.3398,2.5894,M,automatic,37,,WEL(GNS_Primary),2013-07-22T19:01:23.911,POINT (174.33629 -41.611957)
quake.2013p548075,2013p548075,2013-07-22T18:54:23.049,174.3193,-41.5967,7.1094,2.2334,M,automatic,17,,WEL(GNS_Primary),2013-07-22T18:57:05.362,POINT (174.31926 -41.596651)
quake.2013p548058,2013p548058,2013-07-22T18:46:13.583,174.2342,-41.6296,5.1172,2.7194,M,automatic,28,,WEL(GNS_Primary),2013-07-22T18:48:48.91,POINT (174.23417 -41.6296)
quake.2013p548044,2013p548044,2013-07-22T18:38:27.848,174.2252,-41.6485,10.7422,2.159,M,automatic,22,,WEL(GNS_Primary),2013-07-22T18:40:25.904,POINT (174.22519 -41.648521)
quake.2013p548033,2013p548033,2013-07-22T18:32:06.744,174.3854,-41.5982,12.3828,2.3046,M,automatic,23,,WEL(GNS_Primary),2013-07-22T18:34:00.652,POINT (174.38535 -41.598178)
quake.2013p548030,2013p548030,2013-07-22T18:30:24.672,174.2346,-41.6373,5.0586,2.4072,M,automatic,29,,WEL(GNS_Primary),2013-07-22T18:32:29.645,POINT (174.23457 -41.637327)
quake.2013p548023,2013p548023,2013-07-22T18:27:04.67,174.2887,-41.6158,5.2344,2.0988,M,automatic,17,,WEL(GNS_Primary),2013-07-22T18:29:06.761,POINT (174.28868 -41.615771)
quake.2013p548013,2013p548013,2013-07-22T18:21:24.582,174.1806,-41.5855,25.0391,2.052,M,automatic,13,,WEL(GNS_Primary),2013-07-22T18:23:21.426,POINT (174.18058 -41.585483)
quake.2013p548008,2013p548008,2013-07-22T18:18:52.708,174.3118,-41.5743,12.8516,2.4937,M,automatic,35,,WEL(GNS_Primary),2013-07-22T18:21:16.527,POINT (174.31175 -41.574327)
quake.2013p548005,2013p548005,2013-07-22T18:17:27.169,174.5951,-41.5278,5.0586,2.1463,M,automatic,22,,WEL(GNS_Primary),2013-07-22T18:19:43.429,POINT (174.59513 -41.527826)
quake.2013p548001,2013p548001,2013-07-22T18:15:19.746,178.6986,-38.4476,38.2812,2.3699,M,automatic,20,,WEL(GNS_Primary),2013-07-22T21:41:45.342,POINT (178.69863 -38.447569)
quake.2013p547998,2013p547998,2013-07-22T18:14:15.113,174.3714,-41.5461,5.1172,2.0661,M,automatic,12,,WEL(GNS_Primary),2013-07-22T18:16:16.601,POINT (174.37139 -41.546054)
quake.2013p547994,2013p547994,2013-07-22T18:11:23.914,174.2199,-41.5908,10.9766,2.0587,M,automatic,14,,WEL(GNS_Primary),2013-07-22T18:13:00.319,POINT (174.21988 -41.590809)
quake.2013p547965,2013p547965,2013-07-22T17:56:15.42,174.3483,-41.6405,10.2734,2.7565,M,automatic,40,,WEL(GNS_Primary),2013-07-22T17:58:37.335,POINT (174.3483 -41.640461)
quake.2013p547962,2013p547962,2013-07-22T17:53:53.364,175.9269,-41.7181,8.75,3.0966,M,reviewed,11,,WEL(GNS_Primary),2013-07-23T01:14:09.233,POINT (175.92686 -41.718072)
quake.2013p547961,2013p547961,2013-07-22T17:53:45.504,174.4518,-41.5226,13.5547,2.6407,M,automatic,38,,WEL(GNS_Primary),2013-07-22T17:55:59.221,POINT (174.45185 -41.522565)
quake.2013p547955,2013p547955,2013-07-22T17:50:38.044,174.3481,-41.6525,21.6406,3.6557,M,automatic,97,,WEL(GNS_Primary),2013-07-22T21:30:45.251,POINT (174.34807 -41.652549)
quake.2013p547952,2013p547952,2013-07-22T17:49:17.729,174.4301,-41.5132,11.7969,1.9535,M,automatic,19,,WEL(GNS_Primary),2013-07-22T17:51:08.046,POINT (174.43011 -41.513168)
quake.2013p547950,2013p547950,2013-07-22T17:47:53.811,174.2661,-41.6018,5.2344,1.9845,M,automatic,13,,WEL(GNS_Primary),2013-07-22T17:49:50.166,POINT (174.26607 -41.60176)
quake.2013p547942,2013p547942,2013-07-22T17:43:40.671,175.281,-39.5368,67.6953,2.1639,M,reviewed,39,,WEL(GNS_Primary),2013-07-23T01:44:15.925,POINT (175.28104 -39.536764)
quake.2013p547934,2013p547934,2013-07-22T17:39:34.869,174.3094,-41.6062,5.0586,2.5885,M,automatic,33,,WEL(GNS_Primary),2013-07-22T17:42:15.14,POINT (174.30938 -41.606161)
quake.2013p547933,2013p547933,2013-07-22T17:39:09.418,174.3527,-41.5997,9.1016,2.5763,M,automatic,17,,WEL(GNS_Primary),2013-07-22T17:41:50.553,POINT (174.35274 -41.599721)
quake.2013p547931,2013p547931,2013-07-22T17:37:49.191,174.2198,-41.5289,5.0586,2.0604,M,automatic,17,,WEL(GNS_Primary),2013-07-22T17:39:47.287,POINT (174.21984 -41.528873)
quake.2013p547922,2013p547922,2013-07-22T17:33:11.764,174.4015,-41.5246,14.082,2.8163,M,automatic,59,,WEL(GNS_Primary),2013-07-22T21:24:30.015,POINT (174.40148 -41.524628)
quake.2013p547916,2013p547916,2013-07-22T17:29:40.526,173.9592,-41.692,75.7812,1.605,M,automatic,10,,WEL(GNS_Primary),2013-07-22T17:31:02.96,POINT (173.95923 -41.692012)
quake.2013p547910,2013p547910,2013-07-22T17:26:41.441,171.8435,-42.1392,201.875,2.9551,M,automatic,12,,WEL(GNS_Primary),2013-07-22T17:29:24.022,POINT (171.8435 -42.1392)
quake.2013p547906,2013p547906,2013-07-22T17:24:30.04,174.6663,-41.4113,12.3828,1.6855,M,automatic,12,,WEL(GNS_Primary),2013-07-22T17:26:06.863,POINT (174.66634 -41.411288)
quake.2013p547903,2013p547903,2013-07-22T17:22:51.158,174.2041,-41.7123,5.0586,2.1447,M,automatic,17,,WEL(GNS_Primary),2013-07-22T17:24:54.895,POINT (174.2041 -41.71234)
quake.2013p547899,2013p547899,2013-07-22T17:20:56.029,174.3108,-41.5962,5.0586,2.1793,M,automatic,18,,WEL(GNS_Primary),2013-07-22T17:22:56.963,POINT (174.31084 -41.596195)
quake.2013p547895,2013p547895,2013-07-22T17:18:54.18,174.4136,-41.5314,6.2891,2.2067,M,automatic,11,,WEL(GNS_Primary),2013-07-22T17:21:59.737,POINT (174.41358 -41.531448)
quake.2013p547890,2013p547890,2013-07-22T17:15:51.728,174.3064,-41.59,9.5703,1.8432,M,automatic,14,,WEL(GNS_Primary),2013-07-22T17:17:44.774,POINT (174.30636 -41.590016)
quake.2013p547877,2013p547877,2013-07-22T17:08:48.558,174.9916,-40.5624,9.4531,3.3265,M,automatic,26,,WEL(GNS_Primary),2013-07-22T21:17:00.866,POINT (174.99155 -40.562413)
quake.2013p547876,2013p547876,2013-07-22T17:08:22.571,174.259,-41.7538,12.8516,3.6582,M,automatic,55,,WEL(GNS_Primary),2013-07-22T17:12:02.195,POINT (174.25898 -41.753781)
quake.2013p547870,2013p547870,2013-07-22T17:05:38.922,174.369,-41.531,12.6172,1.9671,M,automatic,14,,WEL(GNS_Primary),2013-07-22T17:08:07.222,POINT (174.36897 -41.530969)
quake.2013p547865,2013p547865,2013-07-22T17:02:34.311,174.3042,-41.605,5.1172,2.213,M,automatic,19,,WEL(GNS_Primary),2013-07-22T17:04:37.163,POINT (174.30415 -41.604965)
quake.2013p547854,2013p547854,2013-07-22T16:57:30.336,174.2075,-41.643,6.9922,3.503,M,automatic,75,,WEL(GNS_Primary),2013-07-22T17:01:24.933,POINT (174.20749 -41.642996)
quake.2013p547852,2013p547852,2013-07-22T16:55:39.151,174.1886,-41.7382,5.0586,3.2981,M,automatic,35,,WEL(GNS_Primary),2013-07-22T17:42:06.906,POINT (174.18865 -41.738163)
quake.2013p547847,2013p547847,2013-07-22T16:53:16.267,174.3238,-41.4398,5.0586,3.1263,M,automatic,82,,WEL(GNS_Primary),2013-07-22T21:11:58.77,POINT (174.32384 -41.439765)
quake.2013p547841,2013p547841,2013-07-22T16:49:47.865,174.2328,-41.7947,5.1172,3.8746,M,automatic,79,,WEL(GNS_Primary),2013-07-22T16:54:37.551,POINT (174.23279 -41.79472)
quake.2013p547839,2013p547839,2013-07-22T16:49:47.857,174.2328,-41.7947,5.1172,3.7707,M,automatic,80,,WEL(GNS_Primary),2013-07-22T21:10:49.622,POINT (174.23279 -41.79472)
quake.2013p547838,2013p547838,2013-07-22T16:48:07.579,174.3261,-41.4765,5.0586,2.4393,M,automatic,29,,WEL(GNS_Primary),2013-07-22T16:52:07.459,POINT (174.32613 -41.476533)
quake.2013p547834,2013p547834,2013-07-22T16:46:19.406,176.5626,-40.0222,33.4766,1.7463,M,automatic,15,,WEL(GNS_Primary),2013-07-22T21:05:47.311,POINT (176.56265 -40.022246)
quake.2013p547826,2013p547826,2013-07-22T16:42:01.223,174.2772,-41.5992,5.1172,2.9446,M,automatic,65,,WEL(GNS_Primary),2013-07-22T21:08:10.452,POINT (174.27725 -41.599169)
quake.2013p547825,2013p547825,2013-07-22T16:41:38.586,174.2612,-41.4886,23.1641,3.0029,M,automatic,16,,WEL(GNS_Primary),2013-07-22T16:44:18.53,POINT (174.26123 -41.488593)
quake.2013p547818,2013p547818,2013-07-22T16:37:35.796,174.2563,-41.7195,5.1172,1.9833,M,automatic,11,,WEL(GNS_Primary),2013-07-22T16:40:15.215,POINT (174.25634 -41.719504)
quake.2013p547812,2013p547812,2013-07-22T16:34:21.273,174.3667,-41.5832,5.0586,2.5428,M,automatic,38,,WEL(GNS_Primary),2013-07-22T16:37:35.713,POINT (174.36672 -41.583242)
quake.2013p547806,2013p547806,2013-07-22T16:31:09.649,174.2168,-41.6739,12.207,3.8699,M,reviewed,89,,WEL(GNS_Primary),2013-07-23T01:25:53.48,POINT (174.21677 -41.673924)
quake.2013p547804,2013p547804,2013-07-22T16:30:05.303,174.2723,-41.5907,14.0234,3.1118,M,automatic,29,,WEL(GNS_Primary),2013-07-22T16:33:09.6,POINT (174.27233 -41.590684)
quake.2013p547803,2013p547803,2013-07-22T16:29:43.546,173.0875,-42.4008,5.4688,3.4476,M,automatic,15,,WEL(GNS_Primary),2013-07-22T16:32:10.956,POINT (173.0875 -42.400829)
quake.2013p547800,2013p547800,2013-07-22T16:28:22.006,174.2285,-41.5744,13.3203,2.2131,M,automatic,13,,WEL(GNS_Primary),2013-07-22T16:30:00.196,POINT (174.22849 -41.57438)
quake.2013p547798,2013p547798,2013-07-22T16:27:05.243,174.2275,-41.6384,5.0586,2.3216,M,automatic,21,,WEL(GNS_Primary),2013-07-22T16:29:27.277,POINT (174.22747 -41.63837)
quake.2013p547795,2013p547795,2013-07-22T16:25:30.838,174.3986,-41.624,13.6719,1.9461,M,automatic,19,,WEL(GNS_Primary),2013-07-22T16:27:20.741,POINT (174.39855 -41.624005)
quake.2013p547789,2013p547789,2013-07-22T16:22:18.204,174.2662,-41.6011,5.0586,2.5426,M,automatic,39,,WEL(GNS_Primary),2013-07-22T16:24:42.55,POINT (174.26616 -41.601137)
quake.2013p547775,2013p547775,2013-07-22T16:14:35.681,174.2189,-41.6909,5.1172,2.6659,M,automatic,36,,WEL(GNS_Primary),2013-07-22T16:18:22.285,POINT (174.21888 -41.690878)
quake.2013p547769,2013p547769,2013-07-22T16:11:47.837,174.6193,-41.5475,5.1172,1.8329,M,automatic,13,,WEL(GNS_Primary),2013-07-22T16:13:33.195,POINT (174.61929 -41.54751)
quake.2013p547763,2013p547763,2013-07-22T16:08:25.744,174.228,-41.6034,5.0586,2.0995,M,automatic,15,,WEL(GNS_Primary),2013-07-22T16:10:25.131,POINT (174.22804 -41.603353)
quake.2013p547754,2013p547754,2013-07-22T16:03:58.4,174.3601,-41.6444,6.6992,2.4109,M,automatic,25,,WEL(GNS_Primary),2013-07-22T16:06:23.248,POINT (174.36008 -41.644352)
quake.2013p547740,2013p547740,2013-07-22T15:55:59.371,174.3978,-41.555,9.5117,2.8634,M,automatic,49,,WEL(GNS_Primary),2013-07-22T15:58:18.938,POINT (174.39783 -41.554964)
quake.2013p547730,2013p547730,2013-07-22T15:51:02.306,172.4977,-41.8177,42.5,2.7915,M,automatic,16,,WEL(GNS_Primary),2013-07-22T15:54:25.836,POINT (172.49766 -41.81769)
quake.2013p547721,2013p547721,2013-07-22T15:47:45.885,174.1996,-41.6496,5.0586,2.8748,M,automatic,46,,WEL(GNS_Primary),2013-07-22T15:50:20.926,POINT (174.19955 -41.649645)
quake.2013p547716,2013p547716,2013-07-22T15:43:05.469,174.2902,-41.6419,19.0039,2.9661,M,automatic,62,,WEL(GNS_Primary),2013-07-22T20:49:21.177,POINT (174.29022 -41.641883)
quake.2013p547708,2013p547708,2013-07-22T15:39:48.759,174.28,-41.6118,5.1172,1.996,M,automatic,16,,WEL(GNS_Primary),2013-07-22T15:41:39.881,POINT (174.28001 -41.611763)
quake.2013p547698,2013p547698,2013-07-22T15:33:58.171,174.3584,-41.5767,5.0586,1.9505,M,automatic,18,,WEL(GNS_Primary),2013-07-22T15:35:55.714,POINT (174.35842 -41.576742)
quake.2013p547690,2013p547690,2013-07-22T15:29:18.15,174.3965,-41.5535,10.0391,3.7754,M,automatic,97,,WEL(GNS_Primary),2013-07-22T20:44:07.095,POINT (174.39651 -41.553465)
quake.2013p547684,2013p547684,2013-07-22T15:26:29.839,174.6514,-40.6065,33.125,2.496,M,automatic,15,,WEL(GNS_Primary),2013-07-22T15:29:39.218,POINT (174.65137 -40.606462)
quake.2013p547679,2013p547679,2013-07-22T15:23:45.325,174.3402,-41.6219,9.1016,1.9889,M,automatic,23,,WEL(GNS_Primary),2013-07-22T15:25:45.004,POINT (174.34023 -41.621874)
quake.2013p547669,2013p547669,2013-07-22T15:18:16.594,174.3172,-41.7367,62.4219,2.2477,M,automatic,10,,WEL(GNS_Primary),2013-07-22T15:19:53.293,POINT (174.31715 -41.73672)
quake.2013p547667,2013p547667,2013-07-22T15:16:59.969,174.2024,-41.7085,5.0586,1.8814,M,automatic,11,,WEL(GNS_Primary),2013-07-22T15:19:22.404,POINT (174.20235 -41.708535)
quake.2013p547660,2013p547660,2013-07-22T15:13:36.833,174.5913,-41.5926,10.7422,1.97,M,automatic,15,,WEL(GNS_Primary),2013-07-22T15:15:27.447,POINT (174.59128 -41.592556)
quake.2013p547657,2013p547657,2013-07-22T15:12:15.809,174.24,-41.6162,5.0586,2.1028,M,automatic,18,,WEL(GNS_Primary),2013-07-22T15:14:27.489,POINT (174.24002 -41.616217)
quake.2013p547646,2013p547646,2013-07-22T15:06:05.265,174.3678,-41.6444,5.1172,2.0561,M,automatic,19,,WEL(GNS_Primary),2013-07-22T15:08:09.745,POINT (174.36779 -41.644371)
quake.2013p547640,2013p547640,2013-07-22T15:02:49.036,174.7035,-39.6256,31.7188,2.0294,M,automatic,20,,WEL(GNS_Primary),2013-07-22T20:35:15.039,POINT (174.70349 -39.625586)
quake.2013p547628,2013p547628,2013-07-22T14:56:24.487,174.2836,-41.5508,5.0586,2.3423,M,automatic,36,,WEL(GNS_Primary),2013-07-22T14:58:38.085,POINT (174.28363 -41.550769)
quake.2013p547620,2013p547620,2013-07-22T14:52:09.286,174.0393,-41.6735,28.2031,1.7734,M,automatic,10,,WEL(GNS_Primary),2013-07-22T14:54:06.71,POINT (174.03927 -41.673507)
quake.2013p547616,2013p547616,2013-07-22T14:49:59.526,174.257,-41.5798,8.0469,2.3107,M,automatic,23,,WEL(GNS_Primary),2013-07-22T14:52:31.207,POINT (174.25698 -41.579805)
quake.2013p547614,2013p547614,2013-07-22T14:48:48.741,174.2662,-41.6739,5.1172,2.2461,M,automatic,22,,WEL(GNS_Primary),2013-07-22T14:51:58.617,POINT (174.26619 -41.673916)
quake.2013p547612,2013p547612,2013-07-22T14:47:47.796,175.9406,-39.5367,21.9922,2.6351,M,automatic,17,,WEL(GNS_Primary),2013-07-22T14:51:18.832,POINT (175.94055 -39.536746)
quake.2013p547609,2013p547609,2013-07-22T14:46:28.747,174.3555,-41.581,5.2344,2.3767,M,automatic,13,,WEL(GNS_Primary),2013-07-22T14:49:41.27,POINT (174.35548 -41.581034)
quake.2013p547592,2013p547592,2013-07-22T14:37:23.018,174.4479,-41.7089,11.7969,3.5448,M,automatic,94,,WEL(GNS_Primary),2013-07-22T20:27:15.344,POINT (174.44794 -41.708863)
